202484,"2021-07-20 15:41:07","2021-07-20 15:41:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-20 15:41:22","CPU Reset"
202909,"2021-07-28 16:37:18","2021-07-28 16:37:20",null,null,null,"Temp Error (72,3000)"
202158,"2021-07-28 16:38:02","2021-07-28 16:38:04",null,null,null,"Mobil Kering"
202135,"2021-07-28 16:38:01","2021-07-28 16:38:04",null,null,null,"Mobil Kering"
202259,"2021-07-28 16:39:20","2021-07-28 16:39:23",null,null,null,"Temp Error (72,3000)"
202284,"2021-07-28 16:39:54","2021-07-28 16:39:57",null,null,null,"Mobil Kering"
202216,"2021-07-28 16:39:43","2021-07-28 16:39:47",null,null,null,"Mobil Kering"
202159,"2021-07-28 16:41:10","2021-07-28 16:41:12",null,null,null,"Mobil Kering"
202162,"2021-07-28 16:41:40","2021-07-28 16:41:43",null,null,null,"Mobil Kering"
202167,"2021-07-28 16:42:05","2021-07-28 16:42:08",null,null,null,"Temp Error (72,3000)"
202163,"2021-07-28 16:42:43","2021-07-28 16:42:45",null,null,null,"Mobil Kering"
202232,"2021-07-28 16:42:51","2021-07-28 16:42:54",null,null,null,"Mobil Kering"
202176,"2021-07-28 16:43:30","2021-07-28 16:43:33",null,null,null,"Mobil Kering"
202171,"2021-07-28 16:43:57","2021-07-28 16:44:01",null,null,null,"Mobil Kering"
202119,"2021-07-28 16:45:06","2021-07-28 16:45:08",null,null,null,"Mobil Kering"
202118,"2021-07-28 16:45:12","2021-07-28 16:45:15",null,null,null,"Mobil Kering"
202117,"2021-07-28 16:46:02","2021-07-28 16:46:05",null,null,null,"Mobil Kering"
202300,"2021-07-28 16:46:38","2021-07-28 16:46:41",null,null,null,"Mobil Kering"
202122,"2021-07-28 16:47:27","2021-07-28 16:47:29",null,null,null,"Mobil Kering"
