VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
VID,,,"Api null","Api null","Api null","Battery Power Low () (api null)"
201003,"2021-07-19 09:21:33","2021-07-19 09:21:42",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:22:04",Update
201011,"2021-07-16 14:06:56","2021-07-16 14:06:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 14:07:08","Battery Power Low (66,6234)"
201016,"2021-07-19 09:22:28","2021-07-19 09:22:35",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:22:44",Update
201022,"2021-07-19 09:22:00","2021-07-19 09:22:03",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:22:13",Update
201025,"2021-07-19 09:21:28","2021-07-19 09:21:35",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:21:54",Update
201031,"2021-07-19 09:22:13","2021-07-19 09:22:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:22:34",Update
201034,"2021-07-19 09:22:09","2021-07-19 09:22:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:22:23",Update
201035,"2021-07-19 09:21:46","2021-07-19 09:21:49",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:22:04",Update
201036,"2021-07-19 09:21:47","2021-07-19 09:21:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:22:13",Update
201037,"2021-06-20 21:50:13.766","2021-06-20 21:50:20.111","Api null","Api null","Api null","CPU Reset"
201038,"2021-07-19 09:25:31","2021-07-19 09:25:34",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:25:51",Update
201044,"2021-07-19 09:26:04","2021-07-19 09:26:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:26:22",Update
201046,"2021-07-19 09:25:50","2021-07-19 09:25:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:26:10",Update
201048,"2021-07-19 09:26:05","2021-07-19 09:26:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:26:23",Update
201058,"2021-07-19 09:25:25","2021-07-19 09:25:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:25:41",Update
201059,"2021-07-19 09:25:44","2021-07-19 09:25:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:26:01",Update
201063,"2021-07-09 10:00:29","2021-07-09 10:00:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 10:00:46","CPU Reset"
201064,"2021-07-19 09:26:04","2021-07-19 09:26:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:26:21",Update
201067,"2021-06-24 16:22:47.496","2021-06-24 16:23:13.675","Api null","Api null","Api null","CPU Reset"
201071,"2021-07-19 09:28:02","2021-07-19 09:28:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:15",Update
201072,"2021-07-19 09:28:07","2021-07-19 09:28:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:18",Update
201074,"2021-07-19 09:27:29","2021-07-19 09:27:32",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:27:44",Update
201075,"2021-07-19 09:27:38","2021-07-19 09:27:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:27:54",Update
201077,"2021-07-19 09:28:01","2021-07-19 09:28:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:14",Update
201078,"2021-07-19 09:28:06","2021-07-19 09:28:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:16",Update
201079,"2021-07-19 09:27:49","2021-07-19 09:27:52",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:03",Update
201080,"2021-07-19 09:27:33","2021-07-19 09:27:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:27:46",Update
201081,"2021-07-19 09:27:58","2021-07-19 09:28:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:15",Update
201082,"2021-07-17 23:52:19","2021-07-17 23:52:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 23:52:37","Battery Power Low (66,0)"
201083,"2021-07-19 09:27:57","2021-07-19 09:28:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:13",Update
201084,"2021-07-19 09:27:47","2021-07-19 09:27:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:28:04",Update
201085,"2021-07-19 09:27:26","2021-07-19 09:27:31",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:27:44",Update
201086,"2021-07-19 09:27:40","2021-07-19 09:27:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 09:27:55",Update
