202119,"2021-07-29 12:53:34","2021-07-29 12:53:36",null,null,null,"Mobil Kering"
202153,"2021-07-29 12:54:27","2021-07-29 12:54:30",null,null,null,"Mobil Kering"
202154,"2021-07-29 12:55:14","2021-07-29 12:55:17",null,null,null,"Mobil Kering"
202158,"2021-07-29 12:56:02","2021-07-29 12:56:07",null,null,null,"Mobil Kering"
202159,"2021-07-29 12:57:32","2021-07-29 12:57:35",null,null,null,"Mobil Kering"
202162,"2021-07-29 12:58:09","2021-07-29 12:58:12",null,null,null,"Mobil Kering"
202163,"2021-07-29 13:00:59","2021-07-29 13:01:24",null,null,null,"Mobil Kering"
202164,"2021-07-29 13:01:52","2021-07-29 13:01:54",null,null,null,"Mobil Kering"
202167,"2021-07-29 13:02:41","2021-07-29 13:02:44",null,null,null,"Temp Error (72,3000)"
202230,"2021-07-29 13:03:47","2021-07-29 13:03:50",null,null,null,"Mobil Kering"
202232,"2021-07-29 13:04:11","2021-07-29 13:04:13",null,null,null,"Mobil Kering"
202117,"2021-07-29 13:05:23","2021-07-29 13:05:26",null,null,null,"Mobil Kering"
202118,"2021-07-29 13:06:21","2021-07-29 13:06:24",null,null,null,"Mobil Kering"
202122,"2021-07-29 13:06:31","2021-07-29 13:06:33",null,null,null,"Mobil Kering"
202135,"2021-07-29 13:07:40","2021-07-29 13:07:43",null,null,null,"Mobil Kering"
202216,"2021-07-29 13:08:44","2021-07-29 13:08:46",null,null,null,"Mobil Kering"
201150,"2021-07-29 13:07:52","2021-07-29 13:07:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 13:08:10",Update
201148,"2021-07-29 13:08:21","2021-07-29 13:08:26",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 13:08:31",Update
202300,"2021-07-29 13:09:39","2021-07-29 13:09:44",null,null,null,"Mobil Kering"
202284,"2021-07-29 13:10:17","2021-07-29 13:10:22",null,null,null,"Mobil Kering"
202171,"2021-07-29 12:16:15","2021-07-29 12:16:17",null,null,null,"Mobil Kering"
202176,"2021-07-29 13:11:03","2021-07-29 13:11:06",null,null,null,"Mobil Kering"
202259,"2021-07-29 13:12:21","2021-07-29 13:12:23",null,null,null,"Temp Error (72,3000)"
202909,"2021-07-29 13:12:41","2021-07-29 13:12:44",null,null,null,"Temp Error (72,3000)"
202119,"2021-07-29 16:00:34","2021-07-29 16:00:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:57",Update
202153,"2021-07-29 16:00:27","2021-07-29 16:00:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:38",Update
202154,"2021-07-29 16:00:14","2021-07-29 16:00:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:27",Update
202158,"2021-07-29 15:59:50","2021-07-29 15:59:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:05",Update
202159,"2021-07-29 16:00:32","2021-07-29 16:00:35",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:58",Update
202162,"2021-07-29 16:00:09","2021-07-29 16:00:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:25",Update
202163,"2021-07-29 16:00:27","2021-07-29 16:00:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:48",Update
202164,"2021-07-29 15:59:52","2021-07-29 15:59:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:03",Update
202167,"2021-07-29 16:00:03","2021-07-29 16:00:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:16",Update
202230,"2021-07-29 15:59:47","2021-07-29 15:59:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:05",Update
202232,"2021-07-29 16:00:11","2021-07-29 16:00:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:25",Update
202117,"2021-07-29 16:00:02","2021-07-29 16:00:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:15",Update
202118,"2021-07-29 16:00:12","2021-07-29 16:00:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:27",Update
202122,"2021-07-29 16:00:15","2021-07-29 16:00:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:27",Update
202135,"2021-07-29 16:00:40","2021-07-29 16:00:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:58",Update
202216,"2021-07-29 15:59:44","2021-07-29 15:59:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 15:59:56",Update
201150,"2021-07-29 16:00:32","2021-07-29 16:00:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:58",Update
201148,"2021-07-29 16:00:23","2021-07-29 16:00:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:37",Update
202300,"2021-07-29 16:00:39","2021-07-29 16:00:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:59",Update
202284,"2021-07-29 16:00:17","2021-07-29 16:00:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:28",Update
202171,"2021-07-29 15:59:56","2021-07-29 15:59:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:05",Update
202176,"2021-07-29 16:00:03","2021-07-29 16:00:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:16",Update
202259,"2021-07-29 16:00:21","2021-07-29 16:00:24",200,"{""data_failed"":[],""message"":""Success""}","2021-07-29 16:00:36",Update
