201037,,,"Api null","Api null","Api null","Battery Power Low () (api null)"
201071,"2021-07-21 11:45:07","2021-07-21 11:45:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:28",Update
201072,"2021-07-21 11:45:19","2021-07-21 11:45:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:39",Update
201074,"2021-07-21 11:46:03","2021-07-21 11:46:06",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:46:19",Update
201075,"2021-07-21 11:45:47","2021-07-21 11:45:51",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:46:11",Update
201077,"2021-07-21 11:45:09","2021-07-21 11:45:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:28",Update
201078,"2021-07-21 11:45:23","2021-07-21 11:45:32",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:49",Update
201079,"2021-07-21 11:45:25","2021-07-21 11:45:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:51",Update
201080,"2021-07-21 11:45:27","2021-07-21 11:45:31",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:52",Update
201081,"2021-07-21 11:45:58","2021-07-21 11:46:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:46:21",Update
201082,"2021-07-17 23:52:19","2021-07-17 23:52:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 23:52:37","Battery Power Low (66,0)"
201083,"2021-07-21 11:46:05","2021-07-21 11:46:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:46:22",Update
201084,"2021-07-21 11:45:56","2021-07-21 11:46:03",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:46:19",Update
201085,"2021-07-21 11:45:38","2021-07-21 11:45:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:59",Update
201086,"2021-07-21 11:45:45","2021-07-21 11:45:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:46:00",Update
201087,"2021-07-21 11:43:56","2021-07-21 11:43:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:44:05",Update
201088,"2021-07-21 11:45:26","2021-07-21 11:45:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:45:48",Update
201089,"2021-07-21 11:46:13","2021-07-21 11:46:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 11:46:31",Update
