202484,"2021-07-20 15:41:07","2021-07-20 15:41:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-20 15:41:22","CPU Reset"
201201,"2021-07-28 15:20:21","2021-07-28 15:20:24",200,"{""data_failed"":[],""message"":""Success""}","2021-07-28 15:20:33",Update
202491,"2021-07-28 15:21:02","2021-07-28 15:21:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-28 15:21:16",Update
202909,"2021-07-28 15:21:50","2021-07-28 15:21:54",null,null,null,"Temp Error (72,3000)"
202158,"2021-07-28 15:22:18","2021-07-28 15:22:19",null,null,null,"Mobil Kering"
202135,"2021-07-28 15:22:34","2021-07-28 15:22:36",null,null,null,"Mobil Kering"
202259,"2021-07-28 15:23:19","2021-07-28 15:23:23",null,null,null,"Temp Error (72,3000)"
202284,"2021-07-28 15:23:53","2021-07-28 15:23:58",null,null,null,"Mobil Kering"
202216,"2021-07-28 15:24:43","2021-07-28 15:24:46",null,null,null,"Mobil Kering"
202159,"2021-07-28 15:25:10","2021-07-28 15:25:12",null,null,null,"Mobil Kering"
202162,"2021-07-28 15:25:54","2021-07-28 15:25:57",null,null,null,"Mobil Kering"
202167,"2021-07-28 15:26:36","2021-07-28 15:26:41",null,null,null,"Temp Error (72,3000)"
202163,"2021-07-28 15:22:02","2021-07-28 15:22:11",null,null,null,"Mobil Kering"
202232,"2021-07-28 15:27:29","2021-07-28 15:27:32",null,null,null,"Mobil Kering"
202176,"2021-07-28 15:28:30","2021-07-28 15:28:33",null,null,null,"Mobil Kering"
202171,"2021-07-28 15:28:55","2021-07-28 15:28:59",null,null,null,"Mobil Kering"
202119,"2021-07-28 15:30:05","2021-07-28 15:30:09",null,null,null,"Mobil Kering"
202118,"2021-07-28 15:21:49","2021-07-28 15:21:54",null,null,null,"Mobil Kering"
202117,"2021-07-28 15:31:02","2021-07-28 15:31:06",null,null,null,"Mobil Kering"
202300,"2021-07-28 15:31:26","2021-07-28 15:31:31",null,null,null,"Mobil Kering"
202122,"2021-07-28 15:31:27","2021-07-28 15:31:30",null,null,null,"Mobil Kering"
202589,"2021-07-28 15:28:09","2021-07-28 15:28:31",200,"{""data_failed"":[],""message"":""Success""}","2021-07-28 15:28:47",Update
201186,"2021-07-28 15:54:32","2021-07-28 15:54:35",200,"{""data_failed"":[],""message"":""Success""}","2021-07-28 15:55:03",Update
