VID,Devicetime,lat(API),long(API),lat(RAW),long(RAW),Posisi
202543,7/15/2021 2:11,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:18,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:12,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:23,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:13,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 1:49,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:27,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 1:50,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:40,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:27,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:42,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:49,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:43,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:28,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:44,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:41,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:45,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:46,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:29,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:47,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:50,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:48,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:30,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:42,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:49,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:50,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:31,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:51,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:43,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:15,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:32,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:52,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
