VID,Devicetime,lat(API),long(API),id,lat(RAW),long(RAW),Posisi
202543,"2021-07-15 01:54:32",0,0,77316206,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:17:32",0,0,77332385,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:22:32",0,0,77335522,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:26:33",0,0,77338324,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:10:32",0,0,77327440,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:57:32",0,0,77318315,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:11:32",0,0,77328147,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:18:32",0,0,77333070,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:12:32",0,0,77328828,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:23:32",0,0,77336234,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:13:32",0,0,77329525,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:49:32",0,0,77312464,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:27:34",0,0,77339094,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:50:32",0,0,77313265,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:40:35",0,0,77389975,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:27:35",0,0,77380785,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:42:35",0,0,77349268,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:49:35",0,0,77396456,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:43:35",0,0,77349967,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:28:35",0,0,77381504,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:44:35",0,0,77350673,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:41:35",0,0,77390671,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:45:35",0,0,77351468,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:46:35",0,0,77352289,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:29:35",0,0,77382211,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:47:35",0,0,77353078,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:50:35",0,0,77397163,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:48:35",0,0,77353763,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:30:35",0,0,77382905,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:42:35",0,0,77391359,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:49:35",0,0,77354703,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 02:50:35",0,0,77355170,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 03:31:35",0,0,77383638,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
