VID,"2021-07-26 10:19:50","2021-07-26 10:19:53.404","Api null","Api null","Api null","CPU Reset"
201103,"2021-07-26 10:28:36","2021-07-26 10:28:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:57",Update
201104,"2021-07-26 10:28:40","2021-07-26 10:28:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:59",Update
201105,"2021-07-26 10:26:08","2021-07-26 10:26:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:40",Update
201109,"2021-07-26 10:28:50","2021-07-26 10:29:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:26",Update
201110,"2021-07-26 10:28:51","2021-07-26 10:28:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:07",Update
201111,"2021-07-26 10:29:16","2021-07-26 10:29:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:30",Update
201112,"2021-07-26 10:28:37","2021-07-26 10:28:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:59",Update
201113,"2021-07-26 10:29:12","2021-07-26 10:29:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:27",Update
201114,"2021-07-26 10:28:33","2021-07-26 10:28:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:56",Update
201115,"2021-07-26 10:28:35","2021-07-26 10:28:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:57",Update
201116,"2021-07-26 10:28:42","2021-07-26 10:28:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:10",Update
201118,"2021-07-14 18:42:24","2021-07-14 18:42:26",200,"{""data_failed"":[],""message"":""Success""}","2021-07-14 18:42:39","CPU Reset"
201121,,,"Api null","Api null","Api null","Battery Power Low () (api null)"
201124,"2021-07-26 10:31:02","2021-07-26 10:31:06",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:31:24",Update
201125,"2021-07-09 01:24:50","2021-07-09 01:24:53.134","Api null","Api null","Api null","Battery Power Low (66,4984) (api null)"
201126,"2021-07-26 10:30:18","2021-07-26 10:30:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:30:42",Update
201127,"2021-07-12 14:44:17","2021-07-12 14:44:22",200,"{""data_failed"":[],""message"":""Success""}","2021-07-12 14:44:32","CPU Reset"
201128,"2021-07-26 10:32:15","2021-07-26 10:32:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:38",Update
201129,"2021-07-26 10:31:41","2021-07-26 10:31:44",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:36",Update
201130,"2021-07-26 10:32:21","2021-07-26 10:32:24",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:41",Update
201131,"2021-07-26 10:32:09","2021-07-26 10:32:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:28",Update
201132,"2021-07-26 08:41:36","2021-07-26 08:41:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 08:41:57",Update
201136,"2021-07-26 10:32:30","2021-07-26 10:32:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:39",Update
201137,"2021-07-26 10:32:38","2021-07-26 10:32:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:50",Update
201138,"2021-06-15 18:16:39","2021-06-15 18:16:41.779","Api null","Api null","Api null","Battery Power Low (66,0) (api null)"
201139,"2021-07-26 10:32:43","2021-07-26 10:32:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:00",Update
201140,"2021-07-26 10:32:57","2021-07-26 10:33:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:11",Update
201143,"2021-07-26 10:32:34","2021-07-26 10:32:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:52",Update
201144,"2021-07-26 10:32:09","2021-07-26 10:32:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:28",Update
201145,"2021-07-26 10:33:02","2021-07-26 10:33:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:14",Update
201149,"2021-07-26 10:32:54","2021-07-26 10:32:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:13",Update
201152,"2021-07-26 10:32:20","2021-07-26 10:32:24",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:40",Update
201153,"2021-07-26 10:29:38","2021-07-26 10:29:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:58",Update
201154,"2021-07-26 10:32:04","2021-07-26 10:32:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:18",Update
201155,"2021-06-29 13:58:42","2021-06-29 13:58:45.026","Api null","Api null","Api null","Battery Power Low (66,5662) (api null)"
201156,"2021-07-26 10:32:46","2021-07-26 10:32:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:00",Update
201157,"2021-07-05 22:01:31","2021-07-05 22:01:47.277","Api null","Api null","Api null","Battery Power Low (66,5802) (api null)"
201159,"2021-07-26 10:32:55","2021-07-26 10:32:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:11",Update
201160,"2021-07-26 10:33:22","2021-07-26 10:33:26",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:35",Update
