VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
201104,"2021-07-07 10:35:40","2021-07-07 10:35:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:56",Update
201105,"2021-07-07 10:34:09","2021-07-07 10:34:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:37",Update
201106," Tidak ada data di API"
201108," Tidak ada data di API"
201109,"2021-07-07 10:36:48","2021-07-07 10:37:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:19",Update
201110,"2021-07-07 10:37:15","2021-07-07 10:37:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:29",Update
201111,"2021-07-07 10:38:17","2021-07-07 10:38:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:29",Update
201112,"2021-07-07 10:37:26","2021-07-07 10:37:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:39",Update
201113,"2021-07-07 10:38:10","2021-07-07 10:38:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:20",Update
201114,"2021-07-07 10:37:48","2021-07-07 10:37:52",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:58",Update
201115,"2021-07-07 10:38:11","2021-07-07 10:38:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:29",Update
201116,"2021-07-07 10:37:20","2021-07-07 10:37:40",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:52",Update
201118,"2021-07-07 10:37:34","2021-07-07 10:37:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:52",Update
201121," Tidak ada data di API"
201124,"2021-07-07 10:38:51","2021-07-07 10:38:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:39:01",Update
201125,"2021-07-07 10:38:25","2021-07-07 10:38:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:41",Update
201126,"2021-07-07 10:38:24","2021-07-07 10:38:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:40",Update
201127,"2021-07-07 10:38:23","2021-07-07 10:38:26",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:39",Update
201128,"2021-07-07 10:37:43","2021-07-07 10:37:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:58",Update
201129,"2021-07-07 10:38:44","2021-07-07 10:38:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:39:00",Update
201130,"2021-07-07 10:38:07","2021-07-07 10:38:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:20",Update
201131,"2021-07-07 10:38:22","2021-07-07 10:38:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:39",Update
201132,"2021-07-07 10:31:50","2021-07-07 10:38:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:18",Update
201134," Tidak ada data di API"
201135," Tidak ada data di API"
201136,"2021-07-07 10:39:51","2021-07-07 10:39:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:40:01",Update
201137,"2021-07-07 10:40:08","2021-07-07 10:40:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:40:33",Update
201138," Tidak ada data di API"
201139,"2021-07-07 10:41:13","2021-07-07 10:41:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:41:34",Update
201140,"2021-07-07 10:40:35","2021-07-07 10:40:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:40:52",Update
201142," Tidak ada data di API"
201143,"2021-07-07 10:41:29","2021-07-07 10:41:32",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:41:45",Update
201144,"2021-07-07 10:41:18","2021-07-07 10:41:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:41:33",Update
201145,"2021-07-07 10:41:26","2021-07-07 10:41:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:41:44",Update
201147," Tidak ada data di API"
201148,"2021-07-06 00:13:06","2021-07-06 00:13:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 00:13:17","CPU Reset"
201149,"2021-07-07 10:43:05","2021-07-07 10:43:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:43:17",Update
201150,"2021-06-11 21:19:58","2021-07-06 00:21:44",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 00:22:01","Battery Power Low (66,10)"
201151," Tidak ada data di API"
201152,"2021-07-07 10:43:18","2021-07-07 10:43:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:43:35",Update
201153,"2021-07-07 10:42:25","2021-07-07 10:42:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:42:55",Update
201154,"2021-07-07 10:43:19","2021-07-07 10:43:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:43:36",Update
201155,"2021-06-29 13:58:42","2021-06-29 13:58:45",200,"{""data_failed"":[],""message"":""Success""}","2021-06-29 13:59:07","Battery Power Low (66,5662)"
201156,"2021-07-07 10:43:47","2021-07-07 10:43:51",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:43:56",Update
201157,"2021-07-05 22:01:31","2021-07-05 22:01:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-05 22:02:02","Battery Power Low (66,5802)"
201159,"2021-07-07 10:43:47","2021-07-07 10:43:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:43:57",Update
201160,"2021-07-07 10:44:14","2021-07-07 10:44:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:44:27",Update
201161,"2021-07-07 10:43:49","2021-07-07 10:43:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:44:08",Update
201162,"2021-07-07 10:43:47","2021-07-07 10:43:49",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:43:58",Update
201164,"2021-06-29 19:32:24","2021-06-29 19:32:26",200,"{""data_failed"":[],""message"":""Success""}","2021-06-29 19:32:40","Battery Power Low (66,5457)"
201165,"2021-07-07 10:44:38","2021-07-07 10:44:42",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:44:49",Update
201166,"2021-07-07 10:44:10","2021-07-07 10:44:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:44:17",Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
201167,"2021-07-07 10:44:46","2021-07-07 10:44:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:44:58",Update
201168,"2021-07-07 10:44:26","2021-07-07 10:44:29",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:44:37",Update
201169,"2021-07-07 10:45:13","2021-07-07 10:45:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:45:28",Update
201171,"2021-07-07 10:45:18","2021-07-07 10:45:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:45:38",Update
201172,"2021-07-07 10:45:06","2021-07-07 10:45:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:45:19",Update
201173," Tidak ada data di API"
201174,"2021-07-07 10:46:05","2021-07-07 10:46:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:30",Update
201175,"2021-07-07 10:45:37","2021-07-07 10:45:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:00",Update
201176,"2021-07-07 10:46:01","2021-07-07 10:46:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:20",Update
201177,"2021-07-07 10:46:04","2021-07-07 10:46:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:29",Update
201178,"2021-07-07 10:46:16","2021-07-07 10:46:18",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:31",Update
201179,"2021-07-07 10:45:50","2021-07-07 10:45:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:10",Update
201180,"2021-07-07 10:45:21","2021-07-07 10:45:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:45:39",Update
201181,"2021-07-07 10:45:49","2021-07-07 10:45:52",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:10",Update
201182,"2021-07-07 10:45:25","2021-07-07 10:45:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:45:50",Update
201183,"2021-07-07 10:45:27","2021-07-07 10:45:31",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:45:50",Update
201184,"2021-07-07 10:45:21","2021-07-07 10:45:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:45:38",Update
201185,"2021-07-07 10:45:55","2021-07-07 10:45:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:11",Update
201186,"2021-07-07 10:46:12","2021-07-07 10:46:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:29",Update
201188,"2021-07-07 10:45:52","2021-07-07 10:45:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:11",Update
201190,"2021-07-07 10:46:43","2021-07-07 10:46:47",null,null,null,"Temp Error (72,3000)"
201191,"2021-07-07 10:41:58","2021-07-07 10:42:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:42:27",Update
201192,"2021-07-07 10:46:12","2021-07-07 10:46:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:30",Update
201193," Tidak ada data di API"
201194,"2021-07-07 10:46:53","2021-07-07 10:46:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:12",Update
201195,"2021-07-07 10:47:05","2021-07-07 10:47:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:22",Update
201196,"2021-07-07 10:46:03","2021-07-07 10:46:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:20",Update
201197,"2021-07-07 10:46:50","2021-07-07 10:46:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:11",Update
201198,"2021-07-07 10:46:33","2021-07-07 10:46:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:50",Update
201199,"2021-07-07 10:47:11","2021-07-07 10:47:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:43",Update
201200,"2021-07-07 10:47:28","2021-07-07 10:47:31",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:45",Update
201201,"2021-07-07 10:46:57","2021-07-07 10:47:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:32",Update
201202,"2021-07-07 10:43:41","2021-07-07 10:44:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:44:30",Update
201204,"2021-07-07 10:46:38","2021-07-07 10:46:40",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:46:51",Update
201205,"2021-07-07 10:46:40","2021-07-07 10:46:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:00",Update
201206,"2021-07-07 10:46:56","2021-07-07 10:46:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:10",Update
201207,"2021-07-07 10:46:54","2021-07-07 10:46:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:10",Update
201208,"2021-07-07 10:42:19","2021-07-07 10:47:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:51",Update
201209,"2021-07-07 10:46:57","2021-07-07 10:47:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:11",Update
201210,"2021-06-30 05:26:06","2021-06-30 05:26:09",200,"{""data_failed"":[],""message"":""Success""}","2021-06-30 05:26:23","CPU Reset"
201212,"2021-07-07 10:47:45","2021-07-07 10:47:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:48:03",Update
201214,"2021-07-07 10:47:22","2021-07-07 10:47:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:42",Update
201215,"2021-07-07 10:47:57","2021-07-07 10:48:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:48:11",Update
201216,"2021-07-06 09:54:42","2021-07-06 09:54:45",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 09:54:54","CPU Reset"
201218,"2021-07-07 10:47:38","2021-07-07 10:47:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:52",Update
201219,"2021-07-07 10:47:11","2021-07-07 10:47:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:32",Update
201220,"2021-07-01 22:12:24","2021-07-01 22:12:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-01 22:12:38","Battery Power Low (66,4)"
201221,"2021-07-05 11:35:35","2021-07-05 11:35:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-05 11:35:51","CPU Reset"
201222,"2021-07-07 10:47:33","2021-07-07 10:47:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:48:01",Update
201223,"2021-07-07 10:47:27","2021-07-07 10:47:29",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:41",Update
201224,"2021-07-07 10:47:46","2021-07-07 10:47:49",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:48:02",Update
201225,"2021-07-07 10:47:40","2021-07-07 10:47:44",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:52",Update
201226,"2021-07-07 10:48:08","2021-07-07 10:48:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:48:23",Update
201227," Tidak ada data di API"
201228,"2021-07-06 17:16:11","2021-07-06 17:16:32",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 17:16:45","Battery Power Low (66,0)"
201229,"2021-07-07 10:50:10","2021-07-07 10:50:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:21",Update
201230,"2021-07-07 10:49:53","2021-07-07 10:49:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:13",Update
201231,"2021-07-07 10:50:11","2021-07-07 10:50:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:21",Update
201232,"2021-07-02 06:22:12","2021-07-02 10:19:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-02 10:19:30","Battery Power Low (66,4562)"
201233,"2021-07-07 10:50:25","2021-07-07 10:50:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:31",Update
201234,"2021-07-07 10:48:34","2021-07-07 10:48:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:48:45",Update
201235,"2021-07-07 10:50:20","2021-07-07 10:50:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:31",Update
201236,"2021-07-07 10:48:43","2021-07-07 10:48:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:48:53",Update
201237,"2021-07-07 10:49:51","2021-07-07 10:49:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:14",Update
201238,"2021-07-07 10:50:30","2021-07-07 10:50:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:41",Update
201239,"2021-07-03 10:49:34","2021-07-03 10:49:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-03 10:49:42","CPU Reset"
201240,"2021-07-07 10:50:09","2021-07-07 10:50:14",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:20",Update
201241,"2021-07-07 10:48:46","2021-07-07 10:48:51",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:49:03",Update
201242,"2021-07-07 10:50:04","2021-07-07 10:50:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:22",Update
201243,"2021-07-07 10:50:41","2021-07-07 10:50:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:51:01",Update
201244,"2021-07-07 10:50:15","2021-07-07 10:50:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:30",Update
201245,"2021-07-07 10:50:18","2021-07-07 10:50:22",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:31",Update
201246,"2021-07-07 10:50:11","2021-07-07 10:50:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:22",Update
201247,"2021-07-07 10:49:58","2021-07-07 10:50:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:16",Update
201248,"2021-07-07 10:49:55","2021-07-07 10:49:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:14",Update
201249,"2021-07-07 10:50:07","2021-07-07 10:50:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:22",Update
201251,"2021-07-07 10:50:05","2021-07-07 10:50:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:19",Update
201252,"2021-07-05 03:41:24","2021-07-05 03:41:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-05 03:41:35","Battery Power Low (66,5309)"
201253,"2021-07-07 10:50:06","2021-07-07 10:50:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:21",Update
201254,"2021-07-07 10:50:34","2021-07-07 10:50:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:50:51",Update
201256,"2021-07-07 10:50:43","2021-07-07 10:50:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:51:02",Update
201257," Tidak ada data di API"
201258,"2021-07-07 10:50:41","2021-07-07 10:50:49",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:51:01",Update
201259," Tidak ada data di API"
201260,"2021-07-07 10:52:05","2021-07-07 10:52:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:52:23",Update
201261,"2021-07-07 10:51:52","2021-07-07 10:51:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:52:12",Update
201263,"2021-07-07 10:46:57","2021-07-07 10:47:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:47:12",Update
201264,"2021-07-05 18:18:54","2021-07-05 18:18:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-05 18:19:08","Battery Power Low (66,0)"
201265,"2021-07-07 10:52:27","2021-07-07 10:52:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:52:44",Update
201266,"2021-07-07 10:52:29","2021-07-07 10:52:32",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:52:44",Update
201267,"2021-07-07 10:52:13","2021-07-07 10:52:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:52:32",Update
201268,"2021-07-07 10:52:22","2021-07-07 10:52:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:52:43",Update
201269,"2021-07-07 10:52:09","2021-07-07 10:52:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:52:23",Update
201270,"2021-07-07 10:51:32","2021-07-07 10:51:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:51:54",Update
201271,"2021-06-29 23:49:49","2021-06-29 23:49:52",200,"{""data_failed"":[],""message"":""Success""}","2021-06-29 23:49:58","CPU Reset"
